epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.286,1.56316,3.77167,2.31222,1.72382,0.33406,0.37012,0.29724,0.14065,0.26365,0.28049,0.2157,0.05692,1.77459,4.51478,8.20869,2.3691,0.000647059,0.000647059,0.000647059
2,764.312,1.51675,3.04394,1.77249,1.65075,0.06836,0.69034,0.09301,0.02828,0.02898,0.29268,0.02117,0.00423,2.28182,15.4405,33.7537,3.56463,0.00129638,0.00129638,0.00129638
3,1136.91,1.60053,3.05748,1.60341,1.68397,0.12535,0.43293,0.1628,0.05323,0.0698,0.25,0.03745,0.00766,2.46391,5.94926,14.3229,3.2799,0.00192811,0.00192811,0.00192811
4,1529.8,1.61681,3.01173,1.66783,1.71944,0.1287,0.21341,0.06887,0.02131,0.07299,0.15244,0.02642,0.00598,2.96741,6.18531,17.5574,3.70415,0.0019208,0.0019208,0.0019208
5,1990.71,1.56182,2.83835,1.51974,1.67453,0.25604,0.39634,0.2897,0.12475,0.19817,0.32927,0.20721,0.06398,1.98155,4.59753,6.91697,2.39431,0.0018944,0.0018944,0.0018944
6,2433.19,1.47442,2.69539,1.49136,1.58309,0.35151,0.56098,0.39457,0.17668,0.27428,0.47561,0.25708,0.07817,1.87663,5.08588,5.91387,2.34034,0.001868,0.001868,0.001868
