epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,14076,1.31157,1.86061,1.20673,1.57939,0.45434,0.47192,0.4705,0.29799,0.44916,0.46552,0.46382,0.26457,1.36438,0.52954,0.70775,1.74386,0.007129,0.007129,0.007129
31,14523,1.30623,1.84853,1.20593,1.5765,0.52794,0.50284,0.51343,0.3215,0.49219,0.50479,0.50189,0.28185,1.34904,0.52869,0.70057,1.7269,0.00703,0.00703,0.00703
32,14969,1.30437,1.82998,1.19339,1.57749,0.50974,0.49613,0.5076,0.3158,0.51185,0.49147,0.50169,0.28248,1.34462,0.53455,0.70757,1.7316,0.006931,0.006931,0.006931
33,15416.1,1.30098,1.82388,1.1775,1.56724,0.4758,0.4922,0.49904,0.31479,0.49859,0.47637,0.49096,0.28235,1.34885,0.52106,0.69427,1.72854,0.006832,0.006832,0.006832
34,15868,1.2952,1.82691,1.17636,1.56869,0.44438,0.50647,0.51031,0.32341,0.43715,0.49696,0.49653,0.28632,1.35079,0.51671,0.68289,1.74198,0.006733,0.006733,0.006733
35,16315.4,1.28855,1.82699,1.17344,1.56535,0.47296,0.52402,0.50314,0.3183,0.46729,0.51591,0.49372,0.28362,1.34465,0.53102,0.6795,1.72851,0.006634,0.006634,0.006634
36,16762.2,1.28228,1.80756,1.16312,1.56036,0.42263,0.54368,0.50504,0.32039,0.40772,0.53176,0.49082,0.28251,1.33784,0.54139,0.67392,1.72162,0.006535,0.006535,0.006535
37,17210.7,1.28337,1.80866,1.15086,1.55711,0.51119,0.523,0.52483,0.3357,0.50769,0.5159,0.51423,0.29807,1.33081,0.52103,0.67797,1.71803,0.006436,0.006436,0.006436
38,17663.4,1.28552,1.80816,1.15289,1.55844,0.50724,0.52709,0.52537,0.34187,0.50321,0.51451,0.51414,0.3005,1.3293,0.51778,0.67225,1.71483,0.006337,0.006337,0.006337
39,18109.6,1.27214,1.7974,1.14006,1.54873,0.52858,0.53052,0.53358,0.34471,0.51954,0.5176,0.51864,0.30537,1.32138,0.51826,0.67013,1.70499,0.006238,0.006238,0.006238
40,18557.2,1.27541,1.79784,1.12455,1.54864,0.46495,0.55615,0.53086,0.34187,0.45189,0.53124,0.51781,0.30214,1.33649,0.50837,0.66098,1.71317,0.006139,0.006139,0.006139
41,19015.3,1.27275,1.79228,1.12722,1.5475,0.497,0.53635,0.5186,0.33553,0.48939,0.522,0.50641,0.29702,1.32907,0.51484,0.65388,1.70734,0.00604,0.00604,0.00604
42,19464.3,1.26392,1.79322,1.12748,1.54378,0.53924,0.51558,0.53229,0.34742,0.53708,0.50033,0.51809,0.31038,1.32988,0.51711,0.64895,1.70925,0.005941,0.005941,0.005941
43,19911.1,1.25893,1.7863,1.11077,1.53799,0.53347,0.52922,0.53857,0.34934,0.51901,0.50967,0.51879,0.30985,1.3324,0.5172,0.64817,1.71323,0.005842,0.005842,0.005842
44,20357,1.26158,1.77533,1.1004,1.53722,0.51576,0.5492,0.53937,0.35517,0.50864,0.53589,0.52439,0.31332,1.33165,0.50856,0.64472,1.71164,0.005743,0.005743,0.005743
45,20803.2,1.26174,1.78095,1.11295,1.53942,0.51714,0.53849,0.53235,0.34814,0.50829,0.52596,0.51859,0.30745,1.33052,0.5166,0.64508,1.71214,0.005644,0.005644,0.005644
46,21243.5,1.24913,1.76901,1.08832,1.53013,0.53495,0.51762,0.53803,0.34788,0.52476,0.51084,0.52644,0.30794,1.33309,0.51887,0.63927,1.71025,0.005545,0.005545,0.005545
47,21683.6,1.24989,1.76947,1.08817,1.52791,0.55443,0.5368,0.54215,0.35107,0.55094,0.52008,0.53146,0.31043,1.32953,0.51646,0.63689,1.70827,0.005446,0.005446,0.005446
48,22127,1.24023,1.74364,1.07281,1.52757,0.49272,0.53381,0.53915,0.34853,0.48065,0.52088,0.52585,0.30656,1.33394,0.51975,0.63284,1.71386,0.005347,0.005347,0.005347
49,22573,1.25243,1.76183,1.08531,1.53079,0.49123,0.52642,0.53194,0.34491,0.4844,0.51802,0.52422,0.29916,1.3312,0.52198,0.63215,1.7138,0.005248,0.005248,0.005248
50,23027.7,1.24291,1.75057,1.0738,1.52605,0.53509,0.50763,0.54079,0.34736,0.52696,0.49732,0.53113,0.30608,1.33063,0.52013,0.63012,1.71373,0.005149,0.005149,0.005149
