epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1737.35,1.92747,3.20826,7.29551,1.64443,0,0.49484,0.56091,0.53143,0.28885,0.49962,0.56624,0.54414,0.31532,2.25022,1.21653,6.27834,1.77196,0,0.00144741,0.000482469,0.00144741,0.000482469,0.00144741,0.000482469,0.00144741,0.000482469
23,1816.48,1.92022,3.16619,7.11282,1.63582,0,0.52124,0.53851,0.5377,0.28604,0.56607,0.50443,0.5454,0.31678,2.31026,1.19492,6.39352,1.80834,0,0.00141874,0.000472915,0.00141874,0.000472915,0.00141874,0.000472915,0.00141874,0.000472915
24,1894.18,1.92728,3.17286,7.08483,1.64894,0,0.56517,0.54119,0.55065,0.29906,0.57664,0.54852,0.56189,0.32749,2.26459,1.17491,6.18755,1.80119,0,0.00138916,0.000463052,0.00138916,0.000463052,0.00138916,0.000463052,0.00138916,0.000463052
25,1970.19,1.8951,3.14753,7.0685,1.64237,0,0.5543,0.53205,0.55188,0.30117,0.56565,0.5426,0.56647,0.32943,2.29592,1.22945,6.21388,1.79694,0,0.00135869,0.000452898,0.00135869,0.000452898,0.00135869,0.000452898,0.00135869,0.000452898
26,2046.28,1.89175,3.13485,6.86451,1.63276,0,0.54087,0.5366,0.54736,0.30597,0.55922,0.55571,0.56657,0.33436,2.21826,1.31027,6.12079,1.7565,0,0.00132741,0.00044247,0.00132741,0.00044247,0.00132741,0.00044247,0.00132741,0.00044247
27,2122.49,1.8895,3.12529,6.78472,1.62169,0,0.63822,0.49418,0.55416,0.3202,0.57973,0.5395,0.56512,0.34276,2.14597,1.18967,6.11009,1.72045,0,0.00129536,0.000431787,0.00129536,0.000431787,0.00129536,0.000431787,0.00129536,0.000431787
28,2201.78,1.90671,3.17781,6.76496,1.6256,0,0.5609,0.55306,0.56706,0.31497,0.51861,0.57385,0.57822,0.34531,2.19383,1.22079,6.01016,1.75858,0,0.0012626,0.000420867,0.0012626,0.000420867,0.0012626,0.000420867,0.0012626,0.000420867
29,2281.06,1.90032,3.14809,6.79344,1.61762,0,0.57252,0.5147,0.55223,0.31204,0.56667,0.52074,0.55656,0.33991,2.21385,1.18844,6.09499,1.76435,0,0.00122919,0.00040973,0.00122919,0.00040973,0.00122919,0.00040973,0.00122919,0.00040973
30,2360.05,1.8658,3.09038,6.70393,1.60495,0,0.54268,0.54808,0.54595,0.31456,0.56348,0.56444,0.56474,0.33996,2.18633,1.20163,5.97447,1.72854,0,0.00119519,0.000398395,0.00119519,0.000398395,0.00119519,0.000398395,0.00119519,0.000398395
31,2438.86,1.88944,3.1125,6.71865,1.62055,0,0.53608,0.55514,0.54352,0.30314,0.54329,0.56364,0.55044,0.3277,2.24009,1.16088,6.11271,1.76925,0,0.00116065,0.000386882,0.00116065,0.000386882,0.00116065,0.000386882,0.00116065,0.000386882
32,2514.84,1.85964,3.09049,6.59878,1.62364,0,0.54612,0.54569,0.55461,0.31554,0.54652,0.54732,0.55503,0.34064,2.18796,1.20923,6.05499,1.74241,0,0.00112564,0.000375212,0.00112564,0.000375212,0.00112564,0.000375212,0.00112564,0.000375212
33,2590.91,1.82291,3.02852,6.44422,1.58972,0,0.53824,0.51953,0.54838,0.32422,0.54068,0.52556,0.55818,0.34727,2.11551,1.23684,6.09689,1.70429,0,0.00109021,0.000363404,0.00109021,0.000363404,0.00109021,0.000363404,0.00109021,0.000363404
34,2666.93,1.85325,3.10673,6.42797,1.6081,0,0.51448,0.56578,0.55036,0.32353,0.528,0.57674,0.56467,0.34768,2.13534,1.18376,6.01959,1.71797,0,0.00105444,0.000351479,0.00105444,0.000351479,0.00105444,0.000351479,0.00105444,0.000351479
35,2743.05,1.84179,3.05919,6.39429,1.60294,0,0.53899,0.54307,0.53959,0.30523,0.543,0.54915,0.54633,0.32895,2.22048,1.20191,6.13657,1.75756,0,0.00101838,0.000339459,0.00101838,0.000339459,0.00101838,0.000339459,0.00101838,0.000339459
36,2819.21,1.84356,2.99847,6.28792,1.59134,0,0.51681,0.55096,0.54782,0.33016,0.52246,0.55563,0.55212,0.35059,2.06203,1.17758,6.0448,1.67446,0,0.000982092,0.000327364,0.000982092,0.000327364,0.000982092,0.000327364,0.000982092,0.000327364
37,2895.4,1.8479,3.07929,6.47326,1.60021,0,0.53539,0.53814,0.54938,0.31669,0.53908,0.55862,0.55983,0.34094,2.18883,1.16308,6.01222,1.74509,0,0.000945647,0.000315216,0.000945647,0.000315216,0.000945647,0.000315216,0.000945647,0.000315216
38,2971.71,1.83764,3.0388,6.26029,1.59096,0,0.52294,0.56585,0.56034,0.32515,0.52946,0.58288,0.57276,0.34776,2.12662,1.1269,5.93775,1.70393,0,0.000909107,0.000303036,0.000909107,0.000303036,0.000909107,0.000303036,0.000909107,0.000303036
39,3049.67,1.83836,3.02241,6.18963,1.59017,0,0.5563,0.50486,0.53958,0.32799,0.56029,0.54322,0.55885,0.34704,2.09718,1.09322,5.9635,1.70358,0,0.000872533,0.000290844,0.000872533,0.000290844,0.000872533,0.000290844,0.000872533,0.000290844
40,3128.87,1.84129,2.99524,6.20281,1.58876,0,0.56256,0.55229,0.56759,0.32039,0.57045,0.55956,0.57769,0.34623,2.18805,1.20431,5.88219,1.72825,0,0.000835993,0.000278664,0.000835993,0.000278664,0.000835993,0.000278664,0.000835993,0.000278664
41,3207.12,1.84549,3.08479,6.23546,1.59476,0,0.58362,0.5199,0.54984,0.32526,0.59166,0.5238,0.55851,0.34628,2.12469,1.14261,5.87906,1.7058,0,0.000799548,0.000266516,0.000799548,0.000266516,0.000799548,0.000266516,0.000799548,0.000266516
42,3283,1.80209,2.95821,6.02589,1.57508,0,0.56418,0.52558,0.56158,0.34022,0.56901,0.53341,0.57257,0.35901,2.07463,1.10421,5.87038,1.68345,0,0.000763263,0.000254421,0.000763263,0.000254421,0.000763263,0.000254421,0.000763263,0.000254421
43,3358.95,1.81445,3.01148,6.09864,1.58862,0,0.60869,0.50994,0.5589,0.33378,0.63055,0.52354,0.57387,0.35398,2.08453,1.14089,5.94112,1.6952,0,0.000727202,0.000242401,0.000727202,0.000242401,0.000727202,0.000242401,0.000727202,0.000242401
44,3435.13,1.82139,3.02054,6.02261,1.58545,0,0.59654,0.52267,0.56131,0.32768,0.61135,0.54004,0.57457,0.3513,2.13383,1.10975,5.84548,1.69657,0,0.000691429,0.000230476,0.000691429,0.000230476,0.000691429,0.000230476,0.000691429,0.000230476
45,3514.5,1.80049,2.98329,5.96316,1.57111,0,0.51065,0.55985,0.55672,0.34115,0.50997,0.55893,0.55713,0.35764,2.00978,1.09117,5.82314,1.66723,0,0.000656005,0.000218668,0.000656005,0.000218668,0.000656005,0.000218668,0.000656005,0.000218668
46,3593.56,1.82174,2.99863,6.00492,1.58442,0,0.55525,0.55523,0.56155,0.32564,0.56349,0.5616,0.57306,0.34769,2.10846,1.16846,5.8931,1.70234,0,0.000620993,0.000206998,0.000620993,0.000206998,0.000620993,0.000206998,0.000620993,0.000206998
47,3673.01,1.79786,2.99413,5.83928,1.5657,0,0.57539,0.53183,0.55837,0.33728,0.58521,0.53984,0.57303,0.3571,2.06248,1.09018,5.87779,1.6791,0,0.000586454,0.000195485,0.000586454,0.000195485,0.000586454,0.000195485,0.000586454,0.000195485
48,3752.08,1.8136,2.98785,5.91972,1.57538,0,0.53582,0.5795,0.5624,0.34721,0.54364,0.5857,0.57202,0.36149,1.99344,1.08128,5.74483,1.64082,0,0.000552449,0.00018415,0.000552449,0.00018415,0.000552449,0.00018415,0.000552449,0.00018415
49,3831.6,1.81181,2.98681,5.80762,1.56749,0,0.53576,0.57138,0.57179,0.34868,0.53985,0.57595,0.5732,0.3634,2.02597,1.07538,5.71703,1.65854,0,0.000519038,0.000173013,0.000519038,0.000173013,0.000519038,0.000173013,0.000519038,0.000173013
50,3911,1.80108,3.01672,5.78598,1.5665,0,0.58866,0.49565,0.55229,0.32005,0.49703,0.58614,0.56619,0.34318,2.14637,1.11917,5.97661,1.71546,0,0.000486279,0.000162093,0.000486279,0.000162093,0.000486279,0.000162093,0.000486279,0.000162093
51,3989.51,1.8157,2.99063,5.86188,1.58021,0,0.54798,0.55127,0.56405,0.33998,0.54906,0.55105,0.56572,0.3589,2.03296,1.04578,5.91801,1.65733,0,0.00045423,0.00015141,0.00045423,0.00015141,0.00045423,0.00015141,0.00045423,0.00015141
52,4065.33,1.7904,2.97588,5.83794,1.56079,0,0.5547,0.53705,0.57123,0.35009,0.55644,0.53831,0.5732,0.36679,2.00994,1.11445,5.76217,1.64526,0,0.000422947,0.000140982,0.000422947,0.000140982,0.000422947,0.000140982,0.000422947,0.000140982
53,4142.03,1.80986,2.99324,5.85433,1.5787,0,0.54716,0.57352,0.58413,0.35007,0.54716,0.57352,0.58508,0.36877,2.03037,1.10734,5.68489,1.66153,0,0.000392484,0.000130828,0.000392484,0.000130828,0.000392484,0.000130828,0.000392484,0.000130828
54,4218.14,1.79857,2.95612,5.83082,1.55526,0,0.54485,0.55862,0.56927,0.34579,0.55519,0.56736,0.57616,0.36523,2.0408,1.11463,5.804,1.65849,0,0.000362896,0.000120965,0.000362896,0.000120965,0.000362896,0.000120965,0.000362896,0.000120965
55,4297.07,1.80897,2.99405,5.8121,1.57109,0,0.62257,0.52244,0.58126,0.34493,0.62606,0.52782,0.58427,0.36699,2.08717,1.0839,5.78534,1.68873,0,0.000334234,0.000111411,0.000334234,0.000111411,0.000334234,0.000111411,0.000334234,0.000111411
56,4375.06,1.79298,2.99531,5.69206,1.55891,0,0.53482,0.59202,0.57806,0.34449,0.54901,0.58615,0.58272,0.36698,2.06962,1.08763,5.79,1.67341,0,0.000306549,0.000102183,0.000306549,0.000102183,0.000306549,0.000102183,0.000306549,0.000102183
57,4451.88,1.79777,2.98697,5.72348,1.56211,0,0.58745,0.52987,0.5785,0.34714,0.58586,0.53123,0.58019,0.36893,2.04252,1.10992,5.78995,1.65504,0,0.000279888,9.3296e-05,0.000279888,9.3296e-05,0.000279888,9.3296e-05,0.000279888,9.3296e-05
58,4527.76,1.77629,2.97869,5.66934,1.55504,0,0.52388,0.58285,0.57342,0.33939,0.62145,0.49288,0.57661,0.36278,2.06873,1.09038,5.90297,1.67053,0,0.000254299,8.47664e-05,0.000254299,8.47664e-05,0.000254299,8.47664e-05,0.000254299,8.47664e-05
