,Accuracy,Precision,Recall,F1 Score
Training,0.9926136363636363,0.9928659508635335,0.9926323161842916,0.9925293816954618
Testing,0.9772727272727273,0.9768763433536162,0.9787376048817698,0.9766597142377944
