epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,12390.1,1.2591,1.61557,0.96952,1.55713,0.92432,0.91544,0.95183,0.58363,0.92277,0.91164,0.94645,0.57479,1.34286,0.43495,0.62452,1.73852,0.004258,0.004258,0.004258
31,12968.3,1.24781,1.61825,0.95341,1.54835,0.93205,0.90608,0.95007,0.58892,0.93113,0.9047,0.94651,0.5813,1.34067,0.43989,0.61199,1.73578,0.00406,0.00406,0.00406
32,13372,1.24291,1.59917,0.94271,1.54366,0.92578,0.91233,0.95143,0.58979,0.92249,0.90909,0.94705,0.57941,1.33594,0.43916,0.62196,1.73422,0.003862,0.003862,0.003862
33,13807.4,1.24229,1.59793,0.94512,1.54392,0.92921,0.91557,0.9523,0.58823,0.92657,0.9107,0.94651,0.57981,1.3388,0.44382,0.62135,1.73875,0.003664,0.003664,0.003664
34,14223.8,1.23735,1.59601,0.93228,1.53885,0.93143,0.9175,0.95212,0.58899,0.92887,0.91226,0.9459,0.57983,1.33817,0.43494,0.60678,1.73464,0.003466,0.003466,0.003466
35,49353.8,1.22532,1.57717,0.92615,1.52895,0.92955,0.91603,0.95171,0.58567,0.9272,0.91372,0.94798,0.57792,1.34043,0.4367,0.61312,1.74353,0.003268,0.003268,0.003268
36,50114.3,1.22155,1.56874,0.91875,1.5249,0.92609,0.91877,0.95208,0.591,0.92521,0.9157,0.9475,0.58137,1.32982,0.43596,0.6078,1.72685,0.00307,0.00307,0.00307
37,51657.4,1.21095,1.56268,0.90426,1.51603,0.92955,0.92297,0.95485,0.59205,0.92543,0.91861,0.94993,0.58067,1.33243,0.43471,0.60138,1.72976,0.002872,0.002872,0.002872
38,52098.3,1.20754,1.55828,0.90721,1.51401,0.93197,0.91441,0.95272,0.59523,0.92904,0.91094,0.94714,0.58588,1.32361,0.43917,0.59997,1.72409,0.002674,0.002674,0.002674
39,52686.2,1.20267,1.54617,0.89442,1.50824,0.93311,0.91858,0.95514,0.59426,0.93076,0.91419,0.94898,0.58493,1.32746,0.43505,0.58914,1.72387,0.002476,0.002476,0.002476
40,53537.5,1.20297,1.54752,0.88215,1.50851,0.93309,0.91834,0.95506,0.59121,0.93434,0.91172,0.94949,0.58285,1.32912,0.44024,0.58373,1.7277,0.002278,0.002278,0.002278
41,53919.9,1.13019,1.62781,0.56992,1.60448,0.93171,0.9215,0.95494,0.59913,0.92955,0.91696,0.9506,0.58951,1.3243,0.4375,0.5828,1.72165,0.00208,0.00208,0.00208
42,54302.8,1.11777,1.61553,0.54251,1.5872,0.93224,0.9158,0.95504,0.59867,0.92811,0.91302,0.95068,0.58914,1.33108,0.43865,0.58132,1.72793,0.001882,0.001882,0.001882
43,54687.3,1.11261,1.60699,0.53535,1.58503,0.92339,0.92565,0.95522,0.59837,0.91877,0.92103,0.94974,0.58888,1.32955,0.44122,0.57748,1.72654,0.001684,0.001684,0.001684
44,55069.4,1.0917,1.5924,0.53162,1.57117,0.92413,0.92704,0.95447,0.5993,0.92044,0.92327,0.94952,0.59026,1.33163,0.44177,0.57945,1.72863,0.001486,0.001486,0.001486
45,55452.7,1.07706,1.5695,0.51856,1.55865,0.92529,0.92459,0.95509,0.59934,0.92158,0.92089,0.9509,0.58985,1.32893,0.44217,0.57636,1.73102,0.001288,0.001288,0.001288
46,55836.2,1.07266,1.5566,0.51388,1.55432,0.92805,0.92195,0.95412,0.59997,0.92307,0.91869,0.94903,0.5914,1.32832,0.44584,0.57673,1.73322,0.00109,0.00109,0.00109
47,56220.3,1.05824,1.56448,0.51763,1.54739,0.9274,0.92199,0.95347,0.60096,0.92218,0.91811,0.94796,0.59256,1.32676,0.44829,0.57959,1.7341,0.000892,0.000892,0.000892
48,56606.5,1.0484,1.54286,0.49842,1.53591,0.9258,0.92297,0.95354,0.60093,0.9219,0.91765,0.94811,0.59209,1.32958,0.45349,0.57114,1.7386,0.000694,0.000694,0.000694
49,56994.5,1.04221,1.53892,0.48385,1.52386,0.92932,0.91719,0.9544,0.60233,0.9251,0.91302,0.94943,0.59259,1.33557,0.4514,0.56606,1.74236,0.000496,0.000496,0.000496
50,57756.2,1.02968,1.52853,0.48224,1.51437,0.92942,0.91686,0.95409,0.60168,0.92543,0.91292,0.94916,0.59175,1.33797,0.44886,0.56594,1.74588,0.000298,0.000298,0.000298
