epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,10431.4,1.12695,2.05211,0.96297,1.36359,0.84455,0.79505,0.87237,0.50184,0.79898,0.7513,0.7901,0.42665,1.45034,2.27084,1.04359,1.69518,0.0012344,0.0012344,0.0012344
31,10756.1,1.09524,1.89501,0.95235,1.31361,0.85875,0.80488,0.87896,0.55341,0.85399,0.7439,0.83053,0.47676,1.31394,1.99883,0.99781,1.61283,0.001208,0.001208,0.001208
32,11114.9,1.08497,1.92041,0.93126,1.31897,0.90999,0.77439,0.88212,0.53138,0.90446,0.75,0.85915,0.46679,1.32394,2.09721,0.98118,1.59612,0.0011816,0.0011816,0.0011816
33,11440,1.04012,1.89711,0.89095,1.29969,0.89722,0.8517,0.89614,0.60321,0.8821,0.84756,0.89159,0.50251,1.20734,2.10219,0.91671,1.53169,0.0011552,0.0011552,0.0011552
34,11790.6,1.08318,1.74982,0.8411,1.33356,0.85185,0.87195,0.90122,0.57296,0.84044,0.86718,0.89133,0.53689,1.27391,1.88609,0.98912,1.50534,0.0011288,0.0011288,0.0011288
35,12127.3,1.11637,1.79565,0.87898,1.33032,0.87129,0.82557,0.89442,0.52845,0.8894,0.7622,0.86083,0.49815,1.29773,1.88842,0.99737,1.53286,0.0011024,0.0011024,0.0011024
36,12450,1.07333,1.83604,0.89282,1.33588,0.85706,0.87745,0.89906,0.58277,0.86999,0.81606,0.84906,0.49628,1.24306,2.07857,0.93244,1.51304,0.001076,0.001076,0.001076
37,12775.4,1.06211,1.81162,0.89221,1.29414,0.87459,0.85048,0.8986,0.5406,0.81124,0.78659,0.83579,0.44148,1.3551,2.23495,0.91653,1.59218,0.0010496,0.0010496,0.0010496
38,13096.1,1.05849,1.87369,0.87122,1.31503,0.93348,0.85569,0.92066,0.5993,0.90045,0.82733,0.87005,0.51341,1.19603,1.966,0.86884,1.44946,0.0010232,0.0010232,0.0010232
39,13421.8,1.05217,1.7715,0.84538,1.29563,0.90534,0.85976,0.90836,0.57198,0.87753,0.83015,0.8542,0.47608,1.33206,2.08389,0.87443,1.58284,0.0009968,0.0009968,0.0009968
40,13768.2,1.04679,1.72999,0.83832,1.30605,0.93608,0.83537,0.92793,0.5511,0.8947,0.79878,0.86902,0.50488,1.29674,1.91292,0.84521,1.57685,0.0009704,0.0009704,0.0009704
41,14105.7,1.04412,1.76111,0.83134,1.27957,0.90676,0.87195,0.929,0.62158,0.90731,0.82317,0.89702,0.53791,1.12655,1.96912,0.82573,1.41637,0.000944,0.000944,0.000944
42,14436.1,1.0268,1.69646,0.81847,1.27835,0.9121,0.84756,0.9239,0.59889,0.88586,0.82317,0.87163,0.49121,1.20558,1.98927,0.84519,1.45943,0.0009176,0.0009176,0.0009176
43,14765.3,1.01235,1.73002,0.79056,1.29355,0.87565,0.85876,0.90732,0.5907,0.84912,0.82317,0.85295,0.50645,1.18444,1.87431,0.81897,1.54462,0.0008912,0.0008912,0.0008912
44,15090.9,0.94884,1.70134,0.76989,1.23918,0.87707,0.88415,0.92692,0.6325,0.87102,0.87805,0.8937,0.51779,1.1164,1.85958,0.85942,1.41365,0.0008648,0.0008648,0.0008648
45,15436,0.96832,1.71052,0.74784,1.25602,0.87222,0.86585,0.91595,0.61374,0.87222,0.86585,0.90272,0.54215,1.14179,1.72875,0.81045,1.45379,0.0008384,0.0008384,0.0008384
46,15773,1.02069,1.75005,0.78793,1.27585,0.93363,0.82927,0.91667,0.619,0.91304,0.81098,0.89013,0.53332,1.13173,1.84841,0.77302,1.4386,0.000812,0.000812,0.000812
47,16092.1,0.93779,1.60316,0.74574,1.24837,0.92623,0.84209,0.93004,0.59665,0.91297,0.8316,0.90044,0.51676,1.1608,1.82582,0.84912,1.45031,0.0007856,0.0007856,0.0007856
48,16420.7,0.9573,1.65344,0.75672,1.23494,0.89014,0.89024,0.93936,0.62687,0.87795,0.87805,0.89848,0.55927,1.12867,1.78019,0.75145,1.44206,0.0007592,0.0007592,0.0007592
49,16765,0.96155,1.73683,0.75651,1.23713,0.89871,0.89634,0.92837,0.63301,0.90071,0.89634,0.91245,0.55068,1.13523,1.82201,0.79097,1.41195,0.0007328,0.0007328,0.0007328
50,17094.7,0.96011,1.62879,0.75446,1.22885,0.90848,0.84743,0.90942,0.62344,0.91449,0.82927,0.89583,0.53251,1.14729,1.79787,0.78368,1.42752,0.0007064,0.0007064,0.0007064
51,17421.4,0.94377,1.61804,0.71866,1.22488,0.93686,0.86585,0.92175,0.63242,0.91681,0.84756,0.88241,0.53649,1.11113,1.85513,0.74258,1.42496,0.00068,0.00068,0.00068
52,17739,0.93336,1.61802,0.73772,1.2322,0.9159,0.84146,0.90519,0.61678,0.88537,0.80066,0.87462,0.56809,1.17681,1.86019,0.7484,1.47897,0.0006536,0.0006536,0.0006536
53,18064.4,0.961,1.60237,0.73594,1.23419,0.94796,0.89024,0.94545,0.64568,0.87643,0.90817,0.91416,0.55811,1.13232,1.69349,0.73974,1.40699,0.0006272,0.0006272,0.0006272
54,18388.5,0.92833,1.59222,0.7162,1.21005,0.93012,0.89274,0.94308,0.63338,0.91663,0.87157,0.91651,0.55428,1.1398,1.768,0.72646,1.45313,0.0006008,0.0006008,0.0006008
55,18744.9,0.90032,1.5292,0.67946,1.18904,0.9293,0.88158,0.94096,0.60565,0.94025,0.86354,0.93232,0.5733,1.19667,1.71263,0.73819,1.49375,0.0005744,0.0005744,0.0005744
56,19076.8,0.91506,1.54151,0.71083,1.2126,0.8844,0.90244,0.94116,0.63432,0.86421,0.88415,0.92012,0.5731,1.1305,1.73863,0.73495,1.42044,0.000548,0.000548,0.000548
57,19400.3,0.89107,1.54857,0.69937,1.19939,0.94406,0.82328,0.92711,0.62916,0.8812,0.85935,0.90514,0.57665,1.12785,1.66671,0.76029,1.40268,0.0005216,0.0005216,0.0005216
58,19722.1,0.88345,1.59856,0.69614,1.18396,0.90488,0.87014,0.93307,0.63352,0.86901,0.87195,0.91537,0.56282,1.11097,1.73045,0.75314,1.37225,0.0004952,0.0004952,0.0004952
59,20045.4,0.88331,1.46015,0.67591,1.1952,0.93305,0.85976,0.9275,0.63455,0.93305,0.85976,0.91763,0.58432,1.09179,1.70466,0.72777,1.39761,0.0004688,0.0004688,0.0004688
60,20370.9,0.90051,1.41555,0.69023,1.20238,0.91693,0.87499,0.93808,0.64876,0.89365,0.85976,0.91475,0.58117,1.10711,1.7694,0.7062,1.4058,0.0004424,0.0004424,0.0004424
61,20698.2,0.86986,1.50786,0.67593,1.1831,0.92497,0.87195,0.94585,0.62935,0.91851,0.86585,0.91741,0.58192,1.15701,1.74424,0.69432,1.42635,0.000416,0.000416,0.000416
62,21043.6,0.88095,1.47169,0.63851,1.18601,0.91066,0.88415,0.93817,0.64442,0.91066,0.88415,0.91636,0.57436,1.09488,1.75672,0.69437,1.37653,0.0003896,0.0003896,0.0003896
63,21363.2,0.82039,1.44168,0.6445,1.15767,0.94167,0.87805,0.93887,0.63533,0.93995,0.86585,0.91458,0.58118,1.08661,1.80103,0.67094,1.38988,0.0003632,0.0003632,0.0003632
64,21681.9,0.85204,1.46539,0.64153,1.16236,0.95286,0.87805,0.94257,0.65702,0.93912,0.86585,0.9218,0.5965,1.07932,1.73897,0.6752,1.39029,0.0003368,0.0003368,0.0003368
65,22006.3,0.85163,1.3956,0.61945,1.17191,0.94382,0.87805,0.93788,0.66144,0.9143,0.86585,0.92018,0.59379,1.09004,1.77232,0.67163,1.39538,0.0003104,0.0003104,0.0003104
66,22323,0.83304,1.2493,0.71525,1.27714,0.91142,0.87839,0.92807,0.63421,0.90525,0.8739,0.91844,0.57178,1.11703,1.8803,0.71241,1.38297,0.000284,0.000284,0.000284
67,22645.9,0.80549,1.20448,0.60969,1.26314,0.90017,0.87968,0.91819,0.62948,0.90017,0.87968,0.91353,0.59211,1.10245,1.85828,0.71479,1.40574,0.0002576,0.0002576,0.0002576
68,22965.6,0.75441,1.15196,0.56723,1.21052,0.93813,0.85976,0.92601,0.6599,0.93148,0.85366,0.91662,0.59623,1.02814,1.7651,0.67402,1.34165,0.0002312,0.0002312,0.0002312
69,23279.8,0.79476,1.18874,0.55876,1.26634,0.94154,0.88389,0.93837,0.67969,0.93476,0.87805,0.92608,0.59546,1.00251,1.68007,0.64833,1.31681,0.0002048,0.0002048,0.0002048
70,23598.2,0.72911,1.14546,0.51218,1.18358,0.93606,0.89265,0.95148,0.67479,0.90208,0.89883,0.92344,0.59829,1.01203,1.62713,0.64008,1.31486,0.0001784,0.0001784,0.0001784
71,23915.7,0.72886,1.08183,0.52149,1.1963,0.96495,0.87805,0.95198,0.67526,0.94715,0.85366,0.92109,0.59111,0.98747,1.69991,0.63573,1.29406,0.000152,0.000152,0.000152
72,24233.3,0.75125,1.09037,0.54283,1.2156,0.94337,0.86585,0.93946,0.66924,0.93114,0.85366,0.92756,0.60042,1.00296,1.70074,0.64908,1.3114,0.0001256,0.0001256,0.0001256
73,24557.9,0.73723,1.10019,0.52019,1.22912,0.93897,0.86585,0.935,0.66914,0.93236,0.85976,0.93173,0.60452,1.02201,1.67551,0.65233,1.32903,9.92e-05,9.92e-05,9.92e-05
74,24876.5,0.7226,1.11632,0.52729,1.21199,0.94058,0.86869,0.93934,0.66556,0.93373,0.85911,0.93494,0.60638,1.03287,1.65319,0.642,1.3407,7.28e-05,7.28e-05,7.28e-05
75,25194.8,0.69825,1.07388,0.51233,1.19226,0.9286,0.87805,0.94072,0.67417,0.92735,0.86585,0.93301,0.61176,1.0212,1.63841,0.6494,1.31712,4.64e-05,4.64e-05,4.64e-05
