epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1843.8,1.99503,3.18688,11.6672,1.76705,0,0.29947,0.41314,0.33865,0.17732,0.30328,0.41543,0.34279,0.19619,2.31314,1.26473,9.30441,1.97798,0,0.000947706,0.000315902,0.000947706,0.000315902,0.000947706,0.000315902,0.000947706,0.000315902
23,1927.58,1.96703,3.17262,11.4369,1.75194,0,0.33053,0.38596,0.34402,0.18099,0.33799,0.39324,0.35162,0.20062,2.27781,1.18761,9.14864,1.95462,0,0.000928939,0.000309646,0.000928939,0.000309646,0.000928939,0.000309646,0.000928939,0.000309646
24,2011.38,1.99908,3.2229,11.3927,1.75908,0,0.38524,0.40294,0.35507,0.1877,0.3901,0.40518,0.36096,0.20494,2.28968,1.18071,9.20563,1.99031,0,0.000909566,0.000303189,0.000909566,0.000303189,0.000909566,0.000303189,0.000909566,0.000303189
25,2095.41,1.96705,3.19683,11.3336,1.75116,0,0.34199,0.45091,0.35882,0.19123,0.3472,0.45483,0.36526,0.21046,2.27581,1.24528,8.97051,1.96559,0,0.000889621,0.00029654,0.000889621,0.00029654,0.000889621,0.00029654,0.000889621,0.00029654
26,2179.22,1.99164,3.20814,11.2839,1.75923,0,0.35846,0.4236,0.36455,0.19372,0.35962,0.42517,0.36951,0.21299,2.27839,1.13697,8.98297,1.96855,0,0.000869137,0.000289712,0.000869137,0.000289712,0.000869137,0.000289712,0.000869137,0.000289712
27,2262.94,1.97592,3.17068,11.1208,1.74921,0,0.4055,0.36699,0.35669,0.18959,0.39647,0.36957,0.35971,0.20878,2.27881,1.16405,9.02203,1.97302,0,0.000848153,0.000282718,0.000848153,0.000282718,0.000848153,0.000282718,0.000848153,0.000282718
28,2346.91,1.94595,3.16433,11.1192,1.73495,0,0.34649,0.43142,0.36849,0.20128,0.34891,0.43206,0.37282,0.22186,2.2526,1.1561,8.78646,1.92964,0,0.000826704,0.000275568,0.000826704,0.000275568,0.000826704,0.000275568,0.000826704,0.000275568
29,2430.72,1.9573,3.12774,11.0785,1.73909,0,0.36801,0.44667,0.38772,0.20941,0.37063,0.44726,0.39151,0.22725,2.24093,1.13937,8.69005,1.93407,0,0.000804827,0.000268276,0.000804827,0.000268276,0.000804827,0.000268276,0.000804827,0.000268276
30,2514.31,1.93702,3.16303,10.9145,1.73602,0,0.43829,0.39374,0.39283,0.21608,0.44774,0.3949,0.39518,0.23495,2.19246,1.17047,8.6139,1.89358,0,0.000782562,0.000260854,0.000782562,0.000260854,0.000782562,0.000260854,0.000782562,0.000260854
31,2598.04,1.95317,3.15314,10.881,1.73312,0,0.40359,0.38682,0.38303,0.20871,0.40718,0.38889,0.38811,0.22781,2.20892,1.13337,8.58472,1.90361,0,0.000759948,0.000253316,0.000759948,0.000253316,0.000759948,0.000253316,0.000759948,0.000253316
32,2681.68,1.95397,3.12038,10.9017,1.73673,0,0.37962,0.43375,0.4007,0.21498,0.38445,0.43582,0.40583,0.23363,2.20428,1.14977,8.55035,1.89828,0,0.000737023,0.000245674,0.000737023,0.000245674,0.000737023,0.000245674,0.000737023,0.000245674
33,2765.45,1.94746,3.1001,10.8604,1.73243,0,0.42342,0.4219,0.40155,0.22065,0.42468,0.43053,0.4059,0.23971,2.173,1.20991,8.42498,1.87481,0,0.000713829,0.000237943,0.000713829,0.000237943,0.000713829,0.000237943,0.000713829,0.000237943
34,2849.02,1.9437,3.13282,10.8095,1.73118,0,0.34434,0.45645,0.38573,0.21735,0.34578,0.45031,0.38882,0.23348,2.16332,1.10173,8.47226,1.88957,0,0.000690406,0.000230135,0.000690406,0.000230135,0.000690406,0.000230135,0.000690406,0.000230135
35,2932.75,1.93619,3.1327,10.6999,1.72091,0,0.39368,0.44321,0.40521,0.21664,0.39967,0.45,0.40995,0.23894,2.20929,1.12642,8.34649,1.92051,0,0.000666794,0.000222265,0.000666794,0.000222265,0.000666794,0.000222265,0.000666794,0.000222265
36,3016.29,1.92921,3.1558,10.7195,1.73063,0,0.41535,0.43216,0.39414,0.21423,0.41815,0.42955,0.39429,0.2332,2.20078,1.13723,8.46716,1.91099,0,0.000643037,0.000214346,0.000643037,0.000214346,0.000643037,0.000214346,0.000643037,0.000214346
37,3099.94,1.90764,3.10555,10.4944,1.71013,0,0.37496,0.46271,0.4025,0.22186,0.38574,0.45553,0.40521,0.24394,2.19877,1.15721,8.39894,1.90679,0,0.000619174,0.000206391,0.000619174,0.000206391,0.000619174,0.000206391,0.000619174,0.000206391
38,3183.39,1.92445,3.12533,10.5317,1.71777,0,0.42347,0.44206,0.40319,0.22157,0.42561,0.45249,0.41127,0.24259,2.24396,1.22346,8.33239,1.92733,0,0.000595248,0.000198416,0.000595248,0.000198416,0.000595248,0.000198416,0.000595248,0.000198416
39,3267,1.91942,3.14606,10.5236,1.72173,0,0.37432,0.48152,0.41629,0.22979,0.38052,0.48855,0.42161,0.2517,2.15889,1.16816,8.25019,1.8701,0,0.000571302,0.000190434,0.000571302,0.000190434,0.000571302,0.000190434,0.000571302,0.000190434
40,3350.87,1.93336,3.12121,10.448,1.72195,0,0.39594,0.44365,0.42027,0.23664,0.39919,0.44333,0.42234,0.25382,2.13171,1.1166,8.16987,1.84765,0,0.000547376,0.000182459,0.000547376,0.000182459,0.000547376,0.000182459,0.000547376,0.000182459
41,3434.29,1.91439,3.10902,10.3523,1.71156,0,0.42017,0.4589,0.41457,0.23175,0.42349,0.46113,0.4202,0.25168,2.14317,1.17828,8.16772,1.85781,0,0.000523513,0.000174504,0.000523513,0.000174504,0.000523513,0.000174504,0.000523513,0.000174504
42,3517.91,1.92572,3.11988,10.4196,1.71507,0,0.39315,0.47365,0.4338,0.24275,0.39651,0.47942,0.43938,0.2637,2.13525,1.13419,8.12583,1.85434,0,0.000499756,0.000166585,0.000499756,0.000166585,0.000499756,0.000166585,0.000499756,0.000166585
43,3601.96,1.89963,3.10143,10.3674,1.69679,0,0.38938,0.45489,0.42233,0.23537,0.39593,0.45982,0.42707,0.25471,2.18535,1.1741,8.12731,1.87549,0,0.000476144,0.000158715,0.000476144,0.000158715,0.000476144,0.000158715,0.000476144,0.000158715
44,3685.55,1.91238,3.08083,10.301,1.7136,0,0.41959,0.42442,0.41082,0.23034,0.42229,0.4285,0.41894,0.24869,2.17506,1.15728,8.27089,1.88126,0,0.000452721,0.000150907,0.000452721,0.000150907,0.000452721,0.000150907,0.000452721,0.000150907
45,3769.02,1.91044,3.11122,10.3826,1.70914,0,0.38652,0.45564,0.4124,0.23155,0.39911,0.45793,0.41896,0.25205,2.14865,1.16499,8.09905,1.86209,0,0.000429527,0.000143176,0.000429527,0.000143176,0.000429527,0.000143176,0.000429527,0.000143176
46,3852.66,1.91881,3.0527,10.2466,1.71416,0,0.41693,0.44084,0.42169,0.23966,0.42768,0.44203,0.42783,0.25794,2.14904,1.12437,8.07363,1.86274,0,0.000406602,0.000135534,0.000406602,0.000135534,0.000406602,0.000135534,0.000406602,0.000135534
47,3936.19,1.89173,3.06628,10.2668,1.69849,0,0.39352,0.42423,0.41372,0.23471,0.39281,0.42934,0.41788,0.25215,2.1428,1.10888,8.13219,1.85487,0,0.000383988,0.000127996,0.000383988,0.000127996,0.000383988,0.000127996,0.000383988,0.000127996
48,4019.72,1.88226,3.10045,10.1137,1.69832,0,0.4121,0.45784,0.42896,0.2482,0.41093,0.45845,0.4313,0.26543,2.13433,1.09919,8.0241,1.84692,0,0.000361723,0.000120574,0.000361723,0.000120574,0.000361723,0.000120574,0.000361723,0.000120574
49,4103.18,1.88143,3.05524,10.2245,1.69544,0,0.41096,0.43585,0.41993,0.23366,0.41164,0.43663,0.42384,0.25455,2.21374,1.14186,8.14737,1.89859,0,0.000339846,0.000113282,0.000339846,0.000113282,0.000339846,0.000113282,0.000339846,0.000113282
50,4186.61,1.8959,3.07431,10.0718,1.69315,0,0.42416,0.45571,0.43118,0.24277,0.42823,0.46586,0.4363,0.26235,2.18813,1.15045,8.04421,1.8844,0,0.000318397,0.000106132,0.000318397,0.000106132,0.000318397,0.000106132,0.000318397,0.000106132
51,4270.63,1.91424,3.09598,10.169,1.6992,0,0.40409,0.47041,0.43122,0.24547,0.40169,0.47747,0.43556,0.26395,2.15176,1.14092,8.03555,1.8623,0,0.000297412,9.91375e-05,0.000297412,9.91375e-05,0.000297412,9.91375e-05,0.000297412,9.91375e-05
52,4354.54,1.92041,3.11845,10.1543,1.70674,0,0.41048,0.44437,0.42457,0.24509,0.41291,0.44629,0.42723,0.26133,2.10855,1.14633,7.95657,1.83684,0,0.000276929,9.23098e-05,0.000276929,9.23098e-05,0.000276929,9.23098e-05,0.000276929,9.23098e-05
53,4438.23,1.90436,3.08371,10.2034,1.71122,0,0.38879,0.45899,0.42061,0.23841,0.39475,0.46266,0.42608,0.25628,2.15005,1.10655,8.04896,1.8548,0,0.000256984,8.56613e-05,0.000256984,8.56613e-05,0.000256984,8.56613e-05,0.000256984,8.56613e-05
54,4521.86,1.92183,3.13168,10.1497,1.70628,0,0.38275,0.48346,0.42637,0.24262,0.38598,0.48581,0.43016,0.26147,2.13065,1.10093,7.99302,1.84565,0,0.000237611,7.92035e-05,0.000237611,7.92035e-05,0.000237611,7.92035e-05,0.000237611,7.92035e-05
55,4605.69,1.86959,3.09623,9.99724,1.68568,0,0.38528,0.47021,0.43314,0.24384,0.39356,0.47841,0.44084,0.26499,2.13161,1.12882,7.95693,1.84147,0,0.000218844,7.29479e-05,0.000218844,7.29479e-05,0.000218844,7.29479e-05,0.000218844,7.29479e-05
56,4689.46,1.90897,3.0885,9.95403,1.69722,0,0.41871,0.45788,0.4421,0.25583,0.42235,0.46241,0.44692,0.27349,2.13149,1.12079,7.94225,1.8387,0,0.000200716,6.69054e-05,0.000200716,6.69054e-05,0.000200716,6.69054e-05,0.000200716,6.69054e-05
57,4773.15,1.89421,3.06541,10.0803,1.69636,0,0.39972,0.46508,0.43305,0.243,0.40307,0.46955,0.439,0.26255,2.16827,1.07728,8.00317,1.8722,0,0.00018326,6.10867e-05,0.00018326,6.10867e-05,0.00018326,6.10867e-05,0.00018326,6.10867e-05
58,4856.95,1.91226,3.08135,10.0027,1.69632,0,0.40787,0.44391,0.43265,0.24651,0.41204,0.4461,0.43596,0.26837,2.12521,1.13287,7.97455,1.84661,0,0.000166505,5.55018e-05,0.000166505,5.55018e-05,0.000166505,5.55018e-05,0.000166505,5.55018e-05
